"input","output","status","note"
"C:\Project\gpt_rules\Docs\hwpx\[3-4] 인터넷 홈페이지관리 규칙(2006.4.6.).hwp","C:\Project\gpt_rules\Docs\hwpx\[3-4] 인터넷 홈페이지관리 규칙(2006.4.6.).hwpx","fail","exit_0"
"C:\Project\gpt_rules\Docs\hwpx\[3-5] 인사 관리 규칙(2026.1.23.).hwp","C:\Project\gpt_rules\Docs\hwpx\[3-5] 인사 관리 규칙(2026.1.23.).hwpx","fail","exit_0"
"C:\Project\gpt_rules\Docs\hwpx\[3-6] 보수규칙(2025.12.29.).hwp","C:\Project\gpt_rules\Docs\hwpx\[3-6] 보수규칙(2025.12.29.).hwpx","fail","exit_0"
"C:\Project\gpt_rules\Docs\hwpx\[3-7] 복무규칙(2023.2.24.).hwp","C:\Project\gpt_rules\Docs\hwpx\[3-7] 복무규칙(2023.2.24.).hwpx","fail","exit_0"
"C:\Project\gpt_rules\Docs\hwpx\[3-8] 장비관리 규칙(2009.7.2.).hwp","C:\Project\gpt_rules\Docs\hwpx\[3-8] 장비관리 규칙(2009.7.2.).hwpx","fail","exit_0"
"C:\Project\gpt_rules\Docs\hwpx\[3-9] 교육훈련 규칙(2024.4.30).hwp","C:\Project\gpt_rules\Docs\hwpx\[3-9] 교육훈련 규칙(2024.4.30).hwpx","fail","exit_0"
"C:\Project\gpt_rules\Docs\hwpx\[4-1] 임직원 행동강령(2024.8.27.).hwp","C:\Project\gpt_rules\Docs\hwpx\[4-1] 임직원 행동강령(2024.8.27.).hwpx","fail","exit_0"
"C:\Project\gpt_rules\Docs\hwpx\[4-10] 편의시설 선정 지침(2024.07.02.).hwp","C:\Project\gpt_rules\Docs\hwpx\[4-10] 편의시설 선정 지침(2024.07.02.).hwpx","fail","exit_0"
"C:\Project\gpt_rules\Docs\hwpx\[4-11] 음주운전 사실 확인 등에 관한 지침(2026.06.02.).hwp","C:\Project\gpt_rules\Docs\hwpx\[4-11] 음주운전 사실 확인 등에 관한 지침(2026.06.02.).hwpx","fail","exit_0"
"C:\Project\gpt_rules\Docs\hwpx\[4-2] 경기테크노파크 성희롱ㆍ성폭력 예방 및 2차 피해 방지 지침(2023.04.07.).hwp","C:\Project\gpt_rules\Docs\hwpx\[4-2] 경기테크노파크 성희롱ㆍ성폭력 예방 및 2차 피해 방지 지침(2023.04.07.).hwpx","fail","exit_0"
"C:\Project\gpt_rules\Docs\hwpx\[4-3] 인터넷 데이터 센터 운영 요령(2007.5.30.).hwp","C:\Project\gpt_rules\Docs\hwpx\[4-3] 인터넷 데이터 센터 운영 요령(2007.5.30.).hwpx","fail","exit_0"
"C:\Project\gpt_rules\Docs\hwpx\[4-4] 경기테크노파크 업무추진비 집행지침(2023.2.24.).hwp","C:\Project\gpt_rules\Docs\hwpx\[4-4] 경기테크노파크 업무추진비 집행지침(2023.2.24.).hwpx","fail","exit_0"
"C:\Project\gpt_rules\Docs\hwpx\[4-5] 경기테크노파크 직원의 직무관련 범죄 고발지침(2010.10.7.).hwp","C:\Project\gpt_rules\Docs\hwpx\[4-5] 경기테크노파크 직원의 직무관련 범죄 고발지침(2010.10.7.).hwpx","fail","exit_0"
"C:\Project\gpt_rules\Docs\hwpx\[4-6] 경기테크노파크 부패신고 처리 및 신고자 보호 등에 관한 운영지침(2022.02.03.).hwp","C:\Project\gpt_rules\Docs\hwpx\[4-6] 경기테크노파크 부패신고 처리 및 신고자 보호 등에 관한 운영지침(2022.02.03.).hwpx","fail","exit_0"
"C:\Project\gpt_rules\Docs\hwpx\[4-7] 전산자원관리 지침(2017.2.7.).hwp","C:\Project\gpt_rules\Docs\hwpx\[4-7] 전산자원관리 지침(2017.2.7.).hwpx","fail","exit_0"
"C:\Project\gpt_rules\Docs\hwpx\[4-8] 공무 항공마일리지 관리 및 활용 지침(2018.9.27.).hwp","C:\Project\gpt_rules\Docs\hwpx\[4-8] 공무 항공마일리지 관리 및 활용 지침(2018.9.27.).hwpx","fail","exit_0"
"C:\Project\gpt_rules\Docs\hwpx\[4-9] 영상정보처리기기 운영ㆍ관리 지침(2021.04.21.).hwp","C:\Project\gpt_rules\Docs\hwpx\[4-9] 영상정보처리기기 운영ㆍ관리 지침(2021.04.21.).hwpx","fail","exit_0"
